Date,Real_IV,Pred_IV_LoRA,Pred_IV_Chronos
2022-12-09,0.5392,0.572,0.5243
2022-12-12,0.549,0.472,0.5387
2022-12-13,0.5209,0.472,0.5446
2022-12-14,0.5175,0.472,0.5216
2022-12-15,0.5217,0.572,0.5181
2022-12-19,0.5264,0.572,0.5272
2022-12-20,0.5282,0.572,0.5293
2022-12-21,0.5074,0.472,0.5307
2022-12-22,0.5504,0.472,0.5043
2022-12-23,0.5368,0.472,0.5405
2022-12-26,0.5694,0.472,0.5317
2022-12-27,0.583,0.472,0.5705
2022-12-28,0.5742,0.472,0.575
2022-12-29,0.551,0.572,0.5755
